audio_path,caption,status,asset_id,source_recording_id,wind_intensity,contamination_score,quality_flags
acoustic_ai/layers/layer_b/attempts/murphy__smoke_1__curated_assets/data/weather/site_mvp_002/wind_primary/wind_primary__wind__site257_1313184_000390_000405.wav,"steady wind through dry woodland trees, Bowra dry woodland, Australia, no music, no machinery, no birds, no insects",ok,site_mvp002_site257_1313184_000390_000405,1313184,heavy,0.279232,site_ready;server_a_promoted;local_staging
acoustic_ai/layers/layer_b/attempts/murphy__smoke_1__curated_assets/data/weather/site_mvp_002/wind_primary/wind_primary__wind__site257_216088_005471_005486.wav,"steady wind through dry woodland trees, Bowra dry woodland, Australia, no music, no machinery, no birds, no insects",ok,site_mvp002_site257_216088_005471_005486,216088,medium,0.280793,site_ready;server_a_promoted;local_staging
acoustic_ai/layers/layer_b/attempts/murphy__smoke_1__curated_assets/data/weather/site_mvp_002/wind_primary/wind_primary__wind__site257_215192_005663_005678.wav,"steady wind through dry woodland trees, Bowra dry woodland, Australia, no music, no machinery, no birds, no insects",ok,site_mvp002_site257_215192_005663_005678,215192,medium,0.287805,site_ready;server_a_promoted;local_staging
acoustic_ai/layers/layer_b/attempts/murphy__smoke_1__curated_assets/data/weather/site_mvp_002/wind_primary/wind_primary__wind__site257_445592_003252_003267.wav,"steady wind through dry woodland trees, Bowra dry woodland, Australia, no music, no machinery, no birds, no insects",ok,site_mvp002_site257_445592_003252_003267,445592,medium,0.253771,site_ready;server_a_promoted;local_staging
acoustic_ai/layers/layer_b/attempts/murphy__smoke_1__curated_assets/data/weather/site_mvp_002/wind_primary/wind_primary__wind__site257_1400024_000225_000240.wav,"steady wind through dry woodland trees, Bowra dry woodland, Australia, no music, no machinery, no birds, no insects",ok,site_mvp002_site257_1400024_000225_000240,1400024,medium,0.221309,site_ready;server_a_promoted;local_staging
acoustic_ai/layers/layer_b/attempts/murphy__smoke_1__curated_assets/data/weather/site_mvp_002/wind_primary/wind_primary__wind__site257_215185_002576_002591.wav,"steady wind through dry woodland trees, Bowra dry woodland, Australia, no music, no machinery, no birds, no insects",ok,site_mvp002_site257_215185_002576_002591,215185,medium,0.274135,site_ready;server_a_promoted;local_staging
acoustic_ai/layers/layer_b/attempts/murphy__smoke_1__curated_assets/data/weather/site_mvp_002/wind_primary/wind_primary__wind__site257_5486_000323_000338.wav,"steady wind through dry woodland trees, Bowra dry woodland, Australia, no music, no machinery, no birds, no insects",ok,site_mvp002_site257_5486_000323_000338,5486,heavy,0.274290,site_ready;server_a_promoted;local_staging
acoustic_ai/layers/layer_b/attempts/murphy__smoke_1__curated_assets/data/weather/site_mvp_002/wind_primary/wind_primary__wind__site257_1313184_002222_002237.wav,"steady wind through dry woodland trees, Bowra dry woodland, Australia, no music, no machinery, no birds, no insects",ok,site_mvp002_site257_1313184_002222_002237,1313184,heavy,0.229710,site_ready;server_a_promoted;local_staging
acoustic_ai/layers/layer_b/attempts/murphy__smoke_1__curated_assets/data/weather/site_mvp_002/wind_primary/wind_primary__wind__site257_4881_005831_005846.wav,"steady wind through dry woodland trees, Bowra dry woodland, Australia, no music, no machinery, no birds, no insects",ok,site_mvp002_site257_4881_005831_005846,4881,medium,0.269408,site_ready;server_a_promoted;local_staging
acoustic_ai/layers/layer_b/attempts/murphy__smoke_1__curated_assets/data/weather/site_mvp_002/wind_primary/wind_primary__wind__site257_215467_003974_003989.wav,"steady wind through dry woodland trees, Bowra dry woodland, Australia, no music, no machinery, no birds, no insects",ok,site_mvp002_site257_215467_003974_003989,215467,medium,0.242231,site_ready;server_a_promoted;local_staging
acoustic_ai/layers/layer_b/attempts/murphy__smoke_1__curated_assets/data/weather/site_mvp_002/wind_primary/wind_primary__wind__site257_214659_001698_001713.wav,"steady wind through dry woodland trees, Bowra dry woodland, Australia, no music, no machinery, no birds, no insects",ok,site_mvp002_site257_214659_001698_001713,214659,heavy,0.211912,site_ready;server_a_promoted;local_staging
acoustic_ai/layers/layer_b/attempts/murphy__smoke_1__curated_assets/data/weather/site_mvp_002/wind_primary/wind_primary__wind__site257_214503_003510_003525.wav,"steady wind through dry woodland trees, Bowra dry woodland, Australia, no music, no machinery, no birds, no insects",ok,site_mvp002_site257_214503_003510_003525,214503,medium,0.223317,site_ready;server_a_promoted;local_staging
