clip_path,recording_id,clip_index,sample_bin,sample_local_date,month,month_range,day_of_year,hour_local,temperature_c,humidity_pct,wind_speed_ms,wind_direction_deg,precipitation_mm,precipitation_daily_mm,days_since_rain,has_activity,event_count,high_confidence_event_count,activity_score_max,activity_score_mean,activity_density_per_minute,top_labels
resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_4881/site_257_item_4881_clip_001.webm,4881,1,dawn,2019-10-04,10,September-November,277,6,16.87,34.16,2.33,357.5,0.0,0.0,87,False,0,0,0.0,0.0,0.0,
resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_4881/site_257_item_4881_clip_002.webm,4881,2,dawn,2019-10-04,10,September-November,277,6,16.87,34.16,2.33,357.5,0.0,0.0,87,False,0,0,0.0,0.0,0.0,
resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_4881/site_257_item_4881_clip_003.webm,4881,3,dawn,2019-10-04,10,September-November,277,6,16.87,34.16,2.33,357.5,0.0,0.0,87,False,0,0,0.0,0.0,0.0,
resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_4881/site_257_item_4881_clip_004.webm,4881,4,dawn,2019-10-04,10,September-November,277,6,16.87,34.16,2.33,357.5,0.0,0.0,87,False,0,0,0.0,0.0,0.0,
resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_4881/site_257_item_4881_clip_005.webm,4881,5,dawn,2019-10-04,10,September-November,277,6,16.87,34.16,2.33,357.5,0.0,0.0,87,False,0,0,0.0,0.0,0.0,
resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_4881/site_257_item_4881_clip_006.webm,4881,6,dawn,2019-10-04,10,September-November,277,6,16.87,34.16,2.33,357.5,0.0,0.0,87,False,0,0,0.0,0.0,0.0,
resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_4881/site_257_item_4881_clip_007.webm,4881,7,dawn,2019-10-04,10,September-November,277,6,16.87,34.16,2.33,357.5,0.0,0.0,87,False,0,0,0.0,0.0,0.0,
resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_4881/site_257_item_4881_clip_008.webm,4881,8,dawn,2019-10-04,10,September-November,277,6,16.87,34.16,2.33,357.5,0.0,0.0,87,False,0,0,0.0,0.0,0.0,
resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_4881/site_257_item_4881_clip_009.webm,4881,9,dawn,2019-10-04,10,September-November,277,6,16.87,34.16,2.33,357.5,0.0,0.0,87,False,0,0,0.0,0.0,0.0,
resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_4881/site_257_item_4881_clip_010.webm,4881,10,dawn,2019-10-04,10,September-November,277,6,16.87,34.16,2.33,357.5,0.0,0.0,87,False,0,0,0.0,0.0,0.0,
resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_4881/site_257_item_4881_clip_011.webm,4881,11,dawn,2019-10-04,10,September-November,277,6,16.87,34.16,2.33,357.5,0.0,0.0,87,False,0,0,0.0,0.0,0.0,
resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_4881/site_257_item_4881_clip_012.webm,4881,12,dawn,2019-10-04,10,September-November,277,6,16.87,34.16,2.33,357.5,0.0,0.0,87,False,0,0,0.0,0.0,0.0,
resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_4881/site_257_item_4881_clip_013.webm,4881,13,dawn,2019-10-04,10,September-November,277,6,16.87,34.16,2.33,357.5,0.0,0.0,87,False,0,0,0.0,0.0,0.0,
resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_4881/site_257_item_4881_clip_014.webm,4881,14,dawn,2019-10-04,10,September-November,277,6,16.87,34.16,2.33,357.5,0.0,0.0,87,False,0,0,0.0,0.0,0.0,
resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_4881/site_257_item_4881_clip_015.webm,4881,15,dawn,2019-10-04,10,September-November,277,6,16.87,34.16,2.33,357.5,0.0,0.0,87,False,0,0,0.0,0.0,0.0,
resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_4881/site_257_item_4881_clip_016.webm,4881,16,dawn,2019-10-04,10,September-November,277,6,16.87,34.16,2.33,357.5,0.0,0.0,87,False,0,0,0.0,0.0,0.0,
resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_4881/site_257_item_4881_clip_017.webm,4881,17,dawn,2019-10-04,10,September-November,277,6,16.87,34.16,2.33,357.5,0.0,0.0,87,False,0,0,0.0,0.0,0.0,
resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_4881/site_257_item_4881_clip_018.webm,4881,18,dawn,2019-10-04,10,September-November,277,6,16.87,34.16,2.33,357.5,0.0,0.0,87,False,0,0,0.0,0.0,0.0,
resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_4881/site_257_item_4881_clip_019.webm,4881,19,dawn,2019-10-04,10,September-November,277,6,16.87,34.16,2.33,357.5,0.0,0.0,87,False,0,0,0.0,0.0,0.0,
resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_4881/site_257_item_4881_clip_020.webm,4881,20,dawn,2019-10-04,10,September-November,277,6,16.87,34.16,2.33,357.5,0.0,0.0,87,False,0,0,0.0,0.0,0.0,
resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_4881/site_257_item_4881_clip_021.webm,4881,21,dawn,2019-10-04,10,September-November,277,6,16.87,34.16,2.33,357.5,0.0,0.0,87,False,0,0,0.0,0.0,0.0,
resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_4881/site_257_item_4881_clip_022.webm,4881,22,dawn,2019-10-04,10,September-November,277,6,16.87,34.16,2.33,357.5,0.0,0.0,87,False,0,0,0.0,0.0,0.0,
resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_4881/site_257_item_4881_clip_023.webm,4881,23,dawn,2019-10-04,10,September-November,277,6,16.87,34.16,2.33,357.5,0.0,0.0,87,False,0,0,0.0,0.0,0.0,
resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_4881/site_257_item_4881_clip_024.webm,4881,24,dawn,2019-10-04,10,September-November,277,6,16.87,34.16,2.33,357.5,0.0,0.0,87,False,0,0,0.0,0.0,0.0,
resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_4883/site_257_item_4883_clip_001.webm,4883,1,night,2019-10-04,10,September-November,277,22,23.77,21.05,1.3,1.8,0.0,0.0,88,False,0,0,0.0,0.0,0.0,
resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_4883/site_257_item_4883_clip_002.webm,4883,2,night,2019-10-04,10,September-November,277,22,23.77,21.05,1.3,1.8,0.0,0.0,88,False,0,0,0.0,0.0,0.0,
resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_4883/site_257_item_4883_clip_003.webm,4883,3,night,2019-10-04,10,September-November,277,22,23.77,21.05,1.3,1.8,0.0,0.0,88,False,0,0,0.0,0.0,0.0,
resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_4883/site_257_item_4883_clip_004.webm,4883,4,night,2019-10-04,10,September-November,277,22,23.77,21.05,1.3,1.8,0.0,0.0,88,False,0,0,0.0,0.0,0.0,
resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_4883/site_257_item_4883_clip_005.webm,4883,5,night,2019-10-04,10,September-November,277,22,23.77,21.05,1.3,1.8,0.0,0.0,88,False,0,0,0.0,0.0,0.0,
resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_4883/site_257_item_4883_clip_006.webm,4883,6,night,2019-10-04,10,September-November,277,22,23.77,21.05,1.3,1.8,0.0,0.0,88,False,0,0,0.0,0.0,0.0,
resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_4883/site_257_item_4883_clip_007.webm,4883,7,night,2019-10-04,10,September-November,277,22,23.77,21.05,1.3,1.8,0.0,0.0,88,False,0,0,0.0,0.0,0.0,
resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_4883/site_257_item_4883_clip_008.webm,4883,8,night,2019-10-04,10,September-November,277,22,23.77,21.05,1.3,1.8,0.0,0.0,88,False,0,0,0.0,0.0,0.0,
resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_4883/site_257_item_4883_clip_009.webm,4883,9,night,2019-10-04,10,September-November,277,22,23.77,21.05,1.3,1.8,0.0,0.0,88,False,0,0,0.0,0.0,0.0,
